event_time_utc,symbol,oi_notional,d6h_pct,d6h_rolling_pctl,r6h_mark,severity,severity_code,funding_time_utc,funding_value,funding_rolling_pctl,a2_overlap,regime
2022-08-14T21:00:00Z,SOLUSDT,142363128.15,-0.12405107895860723,0.008773354995938261,-0.014556391380411671,Mild,0,2022-08-14T16:00:00Z,5.903e-05,0.32054794520547947,0,bear
2022-08-19T07:00:00Z,ETHUSDT,1706115328.038,-0.09480393873987625,0.008944258105733908,-0.040925336330788764,Mild,0,2022-08-19T00:00:00Z,5.275e-05,0.33059360730593607,0,bear
2022-08-19T09:00:00Z,BTCUSDT,2428490797.971519,-0.09321590985714656,0.0094792142530836,-0.04601660701591888,Mild,0,2022-08-19T08:00:00Z,2.108e-05,0.2,0,unknown
2022-08-26T16:00:00Z,ETHUSDT,1521319772.9774942,-0.10143592274536195,0.007145076110593352,-0.04316977486657898,Mild,0,2022-08-26T08:00:00Z,2.49e-05,0.2602739726027397,0,bear
2022-08-30T16:00:00Z,ETHUSDT,1570423232.88123,-0.11342638797580207,0.004591368227731864,-0.063957493554469,Medium,1,2022-08-30T08:00:00Z,-6.689e-05,0.09771689497716896,0,bear
2022-09-02T19:00:00Z,ETHUSDT,1568273146.13221,-0.11100224002456516,0.005295808745649872,-0.04277751006046355,Medium,1,2022-09-02T16:00:00Z,-1.84e-05,0.18082191780821918,0,bear
2022-09-06T19:00:00Z,ETHUSDT,1603300140.8357708,-0.11595959924383126,0.0044742729306487695,-0.04519520473188828,Medium,1,2022-09-06T16:00:00Z,-2.352e-05,0.17990867579908676,0,bear
2022-09-06T21:00:00Z,SOLUSDT,100907515.65923002,-0.1315808331356555,0.006262114209035336,-0.08179453519064626,Medium,1,2022-09-06T16:00:00Z,0.0001,0.6657534246575343,0,bear
2022-09-13T12:00:00Z,SOLUSDT,129846856.07435618,-0.13594940540764477,0.005534517914360618,-0.06436590048297963,Medium,1,2022-09-13T08:00:00Z,1.301e-05,0.29497716894977166,0,bear
2022-09-13T14:00:00Z,ETHUSDT,1488344373.285,-0.10220658438540375,0.008153756552125802,-0.07571047631410359,Mild,0,2022-09-13T08:00:00Z,-0.00047985,0.0009132420091324201,0,bear
