event_id,symbol,day,ok,status,quote_volume
P0RES018-00225,KAIAUSDT,2024-12-09,True,200,78190821.80700001
P0RES018-00226,ACXUSDT,2024-12-06,True,200,171542732.86347002
P0RES018-00226,ACXUSDT,2024-12-08,True,200,268959016.18354
P0RES018-00226,ACXUSDT,2024-12-07,True,200,255035618.60166994
P0RES018-00225,KAIAUSDT,2024-12-10,True,200,72664893.6288
P0RES018-00226,ACXUSDT,2024-12-10,True,200,129721036.54734997
P0RES018-00226,ACXUSDT,2024-12-11,True,200,220775097.95127004
P0RES018-00226,ACXUSDT,2024-12-09,True,200,254895680.57277
P0RES018-00226,ACXUSDT,2024-12-12,True,200,133207948.17695
P0RES018-00227,ORCAUSDT,2024-12-06,True,200,94563785.58819999
P0RES018-00225,KAIAUSDT,2024-12-07,True,200,33451997.700899996
P0RES018-00227,ORCAUSDT,2024-12-08,True,200,91945919.397
P0RES018-00227,ORCAUSDT,2024-12-09,True,200,110521287.34149998
P0RES018-00227,ORCAUSDT,2024-12-12,True,200,77623471.9628
P0RES018-00227,ORCAUSDT,2024-12-11,True,200,263317370.20230007
P0RES018-00227,ORCAUSDT,2024-12-10,True,200,59856814.820999995
P0RES018-00228,MOVEUSDT,2024-12-10,True,200,2803935754.8901
P0RES018-00228,MOVEUSDT,2024-12-09,True,200,1008977875.5254998
P0RES018-00228,MOVEUSDT,2024-12-12,True,200,404294430.8743999
P0RES018-00228,MOVEUSDT,2024-12-15,True,200,196850431.60839996
P0RES018-00228,MOVEUSDT,2024-12-11,True,200,876389066.9970999
P0RES018-00228,MOVEUSDT,2024-12-14,True,200,367131075.3436
P0RES018-00228,MOVEUSDT,2024-12-13,True,200,304719591.9937
P0RES018-00229,KOMAUSDT,2024-12-11,True,200,236176313.38143992
P0RES018-00229,KOMAUSDT,2024-12-10,True,200,292569676.00292003
P0RES018-00227,ORCAUSDT,2024-12-07,True,200,131813490.20239998
P0RES018-00229,KOMAUSDT,2024-12-12,True,200,99751707.78345002
P0RES018-00229,KOMAUSDT,2024-12-14,True,200,47971943.0393
P0RES018-00229,KOMAUSDT,2024-12-16,True,200,37057519.114379995
P0RES018-00230,MEUSDT,2024-12-11,True,200,1597001100.6207001
P0RES018-00230,MEUSDT,2024-12-10,True,200,307072327.12009996
P0RES018-00229,KOMAUSDT,2024-12-13,True,200,67775983.07291001
P0RES018-00230,MEUSDT,2024-12-12,True,200,453655104.89959997
P0RES018-00229,KOMAUSDT,2024-12-15,True,200,29617014.156219997
P0RES018-00230,MEUSDT,2024-12-14,True,200,296948940.32149994
P0RES018-00230,MEUSDT,2024-12-15,True,200,207561951.74530002
P0RES018-00230,MEUSDT,2024-12-13,True,200,425429768.4774
P0RES018-00230,MEUSDT,2024-12-16,True,200,217273806.12290004
P0RES018-00231,RAYSOLUSDT,2024-12-10,True,200,43755067.18724999
P0RES018-00231,RAYSOLUSDT,2024-12-11,True,200,135089367.83137998
P0RES018-00231,RAYSOLUSDT,2024-12-14,True,200,23601665.592139997
P0RES018-00231,RAYSOLUSDT,2024-12-12,True,200,30953832.313029997
P0RES018-00231,RAYSOLUSDT,2024-12-15,True,200,18153182.30227
P0RES018-00231,RAYSOLUSDT,2024-12-16,True,200,18115613.097379997
P0RES018-00232,SPXUSDT,2024-12-10,True,200,41867837.32419999
P0RES018-00232,SPXUSDT,2024-12-11,True,200,62188050.48470001
P0RES018-00232,SPXUSDT,2024-12-13,True,200,19667952.011499997
P0RES018-00232,SPXUSDT,2024-12-12,True,200,23476184.656900004
P0RES018-00232,SPXUSDT,2024-12-14,True,200,40392045.59759999
P0RES018-00231,RAYSOLUSDT,2024-12-13,True,200,21884583.475350004
P0RES018-00232,SPXUSDT,2024-12-15,True,200,36944866.331
P0RES018-00232,SPXUSDT,2024-12-16,True,200,83004427.98009999
P0RES018-00233,VIRTUALUSDT,2024-12-13,True,200,425069042.91839
P0RES018-00233,VIRTUALUSDT,2024-12-15,True,200,192701663.88628003
P0RES018-00233,VIRTUALUSDT,2024-12-10,True,200,67208419.48932
P0RES018-00233,VIRTUALUSDT,2024-12-14,True,200,256516280.81236
P0RES018-00233,VIRTUALUSDT,2024-12-11,True,200,84252652.78934
P0RES018-00234,AVAUSDT,2024-12-13,True,200,238656191.86532003
P0RES018-00234,AVAUSDT,2024-12-14,True,200,245637218.43603003
P0RES018-00234,AVAUSDT,2024-12-15,True,200,168448095.621
P0RES018-00234,AVAUSDT,2024-12-16,True,200,286693371.09203
P0RES018-00234,AVAUSDT,2024-12-17,True,200,108754483.42032999
P0RES018-00233,VIRTUALUSDT,2024-12-12,True,200,134244035.80675
P0RES018-00234,AVAUSDT,2024-12-18,True,200,116420759.67119
P0RES018-00234,AVAUSDT,2024-12-19,True,200,74473341.0783
P0RES018-00235,DEGOUSDT,2024-12-13,True,200,151086837.62848002
P0RES018-00235,DEGOUSDT,2024-12-15,True,200,34729263.97522
P0RES018-00235,DEGOUSDT,2024-12-18,True,200,16238887.162710002
P0RES018-00233,VIRTUALUSDT,2024-12-16,True,200,526369858.68908
P0RES018-00235,DEGOUSDT,2024-12-16,True,200,54422266.55073999
P0RES018-00235,DEGOUSDT,2024-12-14,True,200,108995276.93784001
P0RES018-00236,VELODROMEUSDT,2024-12-13,True,200,140920400.48264
P0RES018-00235,DEGOUSDT,2024-12-17,True,200,17666690.335750002
P0RES018-00235,DEGOUSDT,2024-12-19,True,200,33059902.462190002
P0RES018-00236,VELODROMEUSDT,2024-12-14,True,200,328241033.76854
P0RES018-00237,MOCAUSDT,2024-12-16,True,200,183684660.50999996
P0RES018-00236,VELODROMEUSDT,2024-12-16,True,200,161006250.44028002
P0RES018-00237,MOCAUSDT,2024-12-17,True,200,127161062.56590001
P0RES018-00236,VELODROMEUSDT,2024-12-18,True,200,193169823.28265998
P0RES018-00237,MOCAUSDT,2024-12-20,True,200,721862243.2802001
P0RES018-00237,MOCAUSDT,2024-12-18,True,200,128696679.24090001
P0RES018-00236,VELODROMEUSDT,2024-12-15,True,200,189060052.22016
P0RES018-00236,VELODROMEUSDT,2024-12-17,True,200,101969605.77810998
P0RES018-00237,MOCAUSDT,2024-12-22,True,200,488300076.2935999
P0RES018-00236,VELODROMEUSDT,2024-12-19,True,200,256981670.48828998
