event_id,dataset,period,probe_symbol,ok,status,url
P0RES018-00628,perp_kline_1h_daily,2026-06-15,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-15.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-14,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-14.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-13,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-13.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-15,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-15.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-17,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-17.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-18,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-18.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-16,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-16.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-14,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-14.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-13,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-13.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-21,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-21.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-18,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-18.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-19,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-19.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-19,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-19.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-17,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-17.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-20,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-20.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-23,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-23.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-21,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-21.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-23,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-23.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-16,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-16.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-20,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-20.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-22,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-22.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-24,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-24.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-24,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-24.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-22,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-22.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-26,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-26.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-26,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-26.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-27,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-27.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-25,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-25.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-27,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-27.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-25,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-25.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-29,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-29.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-28,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-28.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-28,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-28.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-29,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-29.zip
P0RES018-00628,perp_kline_1h_daily,2026-07-06,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-07-06.zip
P0RES018-00628,perp_kline_1h_daily,2026-06-30,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-06-30.zip
P0RES018-00628,perp_oi_metrics_daily,2026-07-04,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-07-04.zip
P0RES018-00628,perp_kline_1h_daily,2026-07-04,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-07-04.zip
P0RES018-00628,perp_oi_metrics_daily,2026-07-05,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-07-05.zip
P0RES018-00628,perp_kline_1h_daily,2026-07-01,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-07-01.zip
P0RES018-00628,perp_oi_metrics_daily,2026-07-01,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-07-01.zip
P0RES018-00628,perp_kline_1h_daily,2026-07-05,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-07-05.zip
P0RES018-00628,perp_kline_1h_daily,2026-07-02,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-07-02.zip
P0RES018-00628,perp_oi_metrics_daily,2026-07-02,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-07-02.zip
P0RES018-00628,perp_oi_metrics_daily,2026-06-30,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-30.zip
P0RES018-00628,perp_oi_metrics_daily,2026-07-03,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-07-03.zip
P0RES018-00629,spot_1h_daily_pre30,2026-05-11,DKNGUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/DKNGUSDT/1h/DKNGUSDT-1h-2026-05-11.zip
P0RES018-00628,perp_kline_1h_daily,2026-07-03,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-07-03.zip
P0RES018-00628,perp_kline_1h_daily,2026-07-07,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/klines/URNMUSDT/1h/URNMUSDT-1h-2026-07-07.zip
P0RES018-00628,perp_oi_metrics_daily,2026-07-06,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-07-06.zip
P0RES018-00628,perp_oi_metrics_daily,2026-07-08,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-07-08.zip
P0RES018-00628,perp_fundingRate_monthly,2026-07,URNMUSDT,False,404,https://data.binance.vision/data/futures/um/monthly/fundingRate/URNMUSDT/URNMUSDT-fundingRate-2026-07.zip
P0RES018-00629,spot_1h_daily_pre30,2026-05-14,DKNGUSDT,False,404,https://data.binance.vision/data/spot/daily/klines/DKNGUSDT/1h/DKNGUSDT-1h-2026-05-14.zip
P0RES018-00628,perp_fundingRate_monthly,2026-06,URNMUSDT,True,200,https://data.binance.vision/data/futures/um/monthly/fundingRate/URNMUSDT/URNMUSDT-fundingRate-2026-06.zip
