symbol,datetime,bar_index,period,close,ref_high,future_ret_6,future_ret_12,future_ret_24
BTC,2020-03-02 16:00:00,2555,2019-2020,8883.12,8885.0,-0.01922536169250148,-0.016290713053137208,0.022485063700484524
BTC,2020-03-02 20:00:00,2556,2019-2020,8915.24,8917.99,-0.017558276088587222,-0.018609047874281418,0.02400941610420243
ETH,2020-03-19 08:00:00,2655,2019-2020,123.89,124.33,0.1619497143332088,0.05243881608814944,-0.008918495955226112
BTC,2020-03-19 20:00:00,2658,2019-2020,6162.37,6359.45,0.007435327078688863,0.003985640147562466,0.04829881317738377
ETH,2020-03-19 20:00:00,2658,2019-2020,136.3,139.99,-0.020906684819313827,-0.02706887460507713,-0.002791861338810546
BTC,2020-03-24 00:00:00,2683,2019-2020,6522.52,6664.99,0.005386751984373252,0.030667770759296074,-0.0642021024644293
BTC,2020-03-25 08:00:00,2691,2019-2020,6521.36,6833.0,0.012488095323237414,0.01510003626018284,-0.060526966740887894
BTC,2020-04-02 00:00:00,2737,2019-2020,6606.05,6679.94,0.026351023399474493,0.013552812117217311,0.0353601594582348
ETH,2020-04-02 00:00:00,2737,2019-2020,136.31,136.99,0.03772130797515701,0.02478028550960479,0.055298175878465125
BTC,2020-04-02 16:00:00,2741,2019-2020,6803.25,6831.59,-0.0051726540021350565,-0.00825060397382803,0.065786226609621
BTC,2020-04-06 04:00:00,2762,2019-2020,7031.54,7048.0,0.04810769916398525,0.04045728528363531,-0.01555943022788199
BTC,2020-04-06 08:00:00,2763,2019-2020,7099.0,7100.39,0.038956556559717505,0.026950085461948457,-0.02868762245431703
BTC,2020-04-06 12:00:00,2764,2019-2020,7143.0,7148.0,0.02420967638355111,0.018562471643984394,-0.05415923477431408
BTC,2020-04-07 00:00:00,2767,2019-2020,7322.07,7355.14,0.004271076331711409,-0.004891712547515657,-0.058238971682644
ETH,2020-04-07 00:00:00,2767,2019-2020,170.99,172.0,0.006819201712917939,-0.0048659043685199,-0.06630626783852367
BTC,2020-04-07 12:00:00,2770,2019-2020,7318.04,7454.0,-0.005647204739566865,-0.00484360622357099,-0.06883046804051833
BTC,2021-05-26 08:00:00,5253,2021,39850.65,40755.0,-0.004039197522498966,-0.11979364892060651,-0.091684848619555
BTC,2021-05-31 16:00:00,5285,2021,36863.67,37338.58,-0.024433671632212627,0.02731739196990468,-0.0017017662235002343
BTC,2021-05-31 20:00:00,5286,2021,37253.81,37457.07,-0.015165767520091036,0.008416503078563994,-0.011468643164412118
BTC,2021-06-01 00:00:00,5287,2021,36704.99,37499.0,-0.006357177131832574,0.02501032976622074,0.019025335239793818
BTC,2021-06-03 08:00:00,5301,2021,38781.75,39039.19,-0.05829341479645994,-0.07806465323764546,-0.0640276381039003
BTC,2021-06-09 16:00:00,5339,2021,36260.45,36900.0,0.01137016239451431,0.02683761403727077,0.03760533862665253
BTC,2021-06-10 00:00:00,5341,2021,36959.69,37534.79,-0.005569912909230929,-0.038291818732826964,0.05309614769115103
BTC,2021-06-14 00:00:00,5365,2021,38975.14,39380.0,0.03602606777812755,0.02629613908826765,-0.027266284444856504
BTC,2021-06-15 16:00:00,5375,2021,39958.01,41064.05,-0.0325036383125026,-0.05810195178491282,-0.10587671838929247
BTC,2021-06-24 16:00:00,5429,2021,34857.73,34881.0,-0.07866457577205277,-0.09894155668155737,-0.012004848391180179
BTC,2021-06-25 00:00:00,5431,2021,35052.07,35298.0,-0.09179932525820872,-0.055885170606972255,-0.013641321740084611
ETH,2021-06-28 08:00:00,5451,2021,1999.84,2055.0,0.08461874240569676,0.0752987867458446,0.019387409855632302
ETH,2021-06-28 16:00:00,5453,2021,2114.61,2119.61,0.04933925347507469,0.05866294392406345,-0.0051584386872214096
BTC,2021-06-29 04:00:00,5456,2021,34849.27,35297.71,0.011448658218085325,-0.044025393522147016,-0.010086199456700555
BTC,2021-06-29 16:00:00,5459,2021,36382.39,36428.0,-0.046090635273951304,-0.09480901893238272,-0.046020984503461794
BTC,2021-07-04 20:00:00,5490,2021,35286.51,35727.0,-0.04629552498009569,-0.030690177234917574,-0.07076665070279778
BTC,2021-07-11 20:00:00,5532,2021,34258.99,34262.0,-0.034819738727865,-0.045663950721530976,-0.07197015809573658
BTC,2021-07-12 04:00:00,5534,2021,34281.74,34666.0,-0.032663155050744776,-0.07137976503638835,-0.0759490843084977
BTC,2021-07-21 16:00:00,5591,2021,31627.57,31969.99,0.023416923574466012,0.019446353151287444,0.08266741988961908
ETH,2021-07-21 16:00:00,5591,2021,1937.23,1973.77,0.04635294027460008,0.04212548121655705,0.1056634797274183
BTC,2021-07-23 04:00:00,5600,2021,32490.0,32858.0,0.03972074201151796,0.06567793408689344,0.13309181464539183
BTC,2021-07-24 08:00:00,5607,2021,33867.0,33934.25,0.015587568065681935,0.12753146276938915,0.18503536402382928
BTC,2021-07-24 16:00:00,5609,2021,33846.16,34065.71,0.01487107718869563,0.1510553558517885,0.17672226325517051
BTC,2021-07-25 08:00:00,5613,2021,34399.04,34785.33,0.11194389470370716,0.10126315252831891,0.1450839507605526
BTC,2021-09-30 16:00:00,6017,2021,43532.31,44129.28,0.09832239467007436,0.1026849241154007,0.12604206291037479
BTC,2021-12-21 12:00:00,6508,2021,48418.49,49000.0,0.009471819240870526,0.008244575423904046,0.04525310245932289
BTC,2021-12-22 00:00:00,6511,2021,49249.0,49328.96,-0.014828275017863378,0.03552443626927245,0.008623998807204082
ETH,2022-01-11 16:00:00,6635,2022,3237.18,3250.0,0.043770583677807,0.010546014886004675,0.034063716718350304
BTC,2022-01-12 08:00:00,6639,2022,42935.92,43100.0,0.01540135896840294,-0.021731105564611743,0.0007536301546122822
ETH,2022-01-12 16:00:00,6641,2022,3382.02,3388.02,-0.033224568791802446,-0.022265430068773812,-0.018216255189318544
BTC,2022-01-12 20:00:00,6642,2022,43902.66,44078.4,-0.03105748088409937,-0.019381347501196886,-0.01910967026879451
ETH,2022-01-12 20:00:00,6642,2022,3371.26,3392.94,-0.03952497803790752,-0.019118132464515752,-0.007257993142443072
SOL,2022-01-12 20:00:00,3118,2022,151.51,153.2,-0.03608656300867235,-0.035881301470542734,-0.023574499874339183
BTC,2022-01-13 12:00:00,6646,2022,43200.0,44322.0,-0.0021087032341997095,0.004646825651981157,-0.016862204579364232
BTC,2022-01-20 16:00:00,6689,2022,42917.32,43456.0,-0.12210729641362934,-0.21748692870517491,-0.17391379005923754
BTC,2022-01-26 04:00:00,6722,2022,37338.59,37550.0,-0.03169034129901599,-0.014534422427945896,0.023984933542996176
BTC,2022-01-26 12:00:00,6724,2022,37985.0,38248.92,-0.036066362038822145,-0.021178864121940727,-0.00012926990560644156
BTC,2022-01-26 16:00:00,6725,2022,37579.9,38499.0,-0.03715610280278244,-0.00954624432147627,-0.0017985877429061352
ETH,2022-01-26 16:00:00,6725,2022,2573.83,2668.58,-0.07205358558909261,-0.04452664494020355,-0.005290151953408421
ETH,2022-01-30 08:00:00,6747,2022,2626.24,2636.66,-0.026323553006056058,0.050155660809136283,-0.0016501056496077712
BTC,2022-01-31 16:00:00,6755,2022,38415.79,38720.74,-0.0009818491533090435,-0.022354280014691443,0.05844503382397231
ETH,2022-02-01 04:00:00,6758,2022,2736.69,2757.9,0.004618996373102941,-0.024146481386587603,0.09233968081785365
BTC,2022-02-01 08:00:00,6759,2022,38425.06,38744.0,0.001688616388805231,-0.04361969752262186,0.07529540518246075
ETH,2022-02-01 08:00:00,6759,2022,2761.32,2767.31,0.002015119499745573,-0.05180576645874399,0.0868025178607305
SOL,2022-02-01 08:00:00,3235,2022,106.35,108.0,0.03356298943342257,-0.08760137020899623,0.07776170956294445
ETH,2022-02-01 12:00:00,6760,2022,2768.54,2796.79,-0.03852889099763448,-0.04753740040384998,0.09725745571044045
SOL,2022-02-01 12:00:00,3236,2022,108.71,109.0,-0.02599969402721083,-0.10106675947540666,0.06516499214354504
BTC,2022-02-01 16:00:00,6761,2022,38378.09,39100.0,-0.021372430861382453,-0.048759027096281736,0.07928804624718049
ETH,2022-02-01 16:00:00,6761,2022,2751.02,2811.26,-0.016053167723243753,-0.05718749438579241,0.09030049749998025
SOL,2022-02-01 16:00:00,3237,2022,107.89,110.93,0.01964086631857255,-0.10836189483126862,0.05069064735820867
BTC,2022-02-05 00:00:00,6781,2022,41447.85,41772.33,-9.192696662320161e-05,0.03254568526106271,0.044715663395622954
ETH,2022-02-05 04:00:00,6782,2022,3001.43,3017.02,0.0030372662025969967,0.025671909797756617,0.0342243456821108
BTC,2022-02-06 12:00:00,6790,2022,41519.49,41913.69,0.0542830889690454,0.04497160324004618,0.07932328716214267
ETH,2022-02-06 20:00:00,6792,2022,3054.99,3060.47,0.02737322953394406,0.019995221939698247,0.005711988478376837
BTC,2022-02-15 04:00:00,6842,2022,43691.57,43700.0,0.011212081799816098,0.00520232472945803,-0.08170461032988309
SOL,2022-02-15 08:00:00,3319,2022,102.4,102.49,0.0010736421899026558,-0.032858184534599454,-0.1348715759834786
BTC,2022-02-15 12:00:00,6844,2022,44198.96,44425.85,-0.013675531552108777,-0.052808456809440435,-0.10057383798685328
SOL,2022-02-28 16:00:00,3399,2022,96.22,96.83,0.01536667168494407,0.04838426576715787,-0.08137734695577382
ETH,2022-03-09 08:00:00,6975,2022,2745.27,2746.66,-0.05671689613013357,-0.03432783010752941,-0.06432897050877776
ETH,2022-03-15 20:00:00,7014,2022,2617.73,2660.96,0.05791429638892648,0.07155999403432464,0.11978234557479435
BTC,2022-03-16 00:00:00,7015,2022,39160.0,39947.12,0.04627496518347406,0.034193907641673786,0.06864000024645373
ETH,2022-03-16 00:00:00,7015,2022,2620.4,2669.0,0.05425962014949305,0.05809824411454874,0.11283177293569129
SOL,2022-03-16 00:00:00,3491,2022,82.38,85.99,0.06588048264953478,0.041957547642030475,0.09709630802038496
SOL,2022-03-17 20:00:00,3502,2022,87.8,90.81,0.022523474667082922,0.05009097736098919,0.0089574837828701
BTC,2022-03-18 20:00:00,7032,2022,41757.51,42063.97,0.010567682574771557,-0.011934669906539764,0.014422698260027058
ETH,2022-03-18 20:00:00,7032,2022,2938.92,2968.33,0.004047708658660071,-0.026738140983247918,0.010398566423213513
SOL,2022-03-19 00:00:00,3509,2022,90.25,92.28,0.0058553998153292475,-0.028661697834852874,-0.0015524509660443553
ETH,2022-03-19 16:00:00,7037,2022,2950.0,2984.0,-0.02550904747756656,-0.010920428364281528,0.00438359831732418
SOL,2022-03-19 16:00:00,3513,2022,92.65,94.25,-0.034366888727699066,-0.04300552437584366,0.0015099226337190682
