symbol,datetime,bar_index,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
BTC,2022-03-31 12:00:00,7108,2022,46453.81,46445.42,0.0016817623770528126,-0.0034232256420075216,-0.01780806247581312
BTC,2022-03-31 20:00:00,7110,2022,45510.34,45500.0,0.01684575714059203,0.006584684069145797,0.023242660415202482
ETH,2022-04-05 20:00:00,7140,2022,3406.99,3405.97,-0.07256775769697918,-0.05421741398934226,-0.04454075470429478
BTC,2022-04-06 00:00:00,7141,2022,45215.88,45118.0,-0.04343337137799105,-0.03625451431030444,-0.05524395051467361
SOL,2022-04-06 08:00:00,3619,2022,121.63,120.12,-0.03488579953597159,-0.05361969793907835,-0.0910030992899086
BTC,2022-04-06 16:00:00,7145,2022,43754.57,43705.64,-0.00839195551849956,-0.023675156708820106,-0.01192790259244595
ETH,2022-04-06 16:00:00,7145,2022,3225.33,3217.33,-0.0022876521820840833,0.0040904281739895885,0.02036887805585494
SOL,2022-04-06 16:00:00,3621,2022,118.8,114.71,-0.00921743450415528,-0.04502202002498967,-0.03651729996283326
ETH,2022-04-07 00:00:00,7147,2022,3185.57,3162.39,0.025442895512370882,0.00760231636033686,-0.0032259715315778644
ETH,2022-04-11 00:00:00,7171,2022,3175.31,3173.52,-0.06246235061148687,-0.0405620799284844,-0.042890071536570096
ETH,2022-04-11 16:00:00,7175,2022,3004.6,3002.36,-0.010640178008803803,0.02674102756963109,0.006042414703850636
ETH,2022-04-11 20:00:00,7176,2022,2979.74,2977.54,0.015953995545066883,0.045445519369479624,0.020205660590961284
BTC,2023-01-18 16:00:00,8867,2023-2024,20906.54,20573.13,0.008782009839011153,0.027836010734745145,0.08327819097525864
ETH,2023-01-18 16:00:00,8867,2023-2024,1541.96,1518.76,0.006457870279762298,0.037255497893319375,0.05864963009094664
ETH,2023-01-25 00:00:00,8905,2023-2024,1546.63,1535.0,0.04317608768616796,0.012273798518051719,0.030394031401928277
BTC,2023-01-30 20:00:00,8940,2023-2024,22826.15,22627.9,0.013013096440887308,0.0389453499974232,0.026191533284757873
BTC,2023-02-06 04:00:00,8978,2023-2024,22879.69,22743.0,0.0013635988538060284,0.015310290717719801,-0.04322842035277415
ETH,2023-02-06 04:00:00,8978,2023-2024,1635.41,1609.3,-0.0019096006047736587,0.025512388571646057,-0.05254243333174093
ETH,2023-02-06 20:00:00,8982,2023-2024,1614.29,1608.53,0.03454497124674816,0.02214062849452053,-0.06476114119482303
BTC,2023-02-09 04:00:00,8996,2023-2024,22676.41,22424.48,-0.034303979972878394,-0.04435260556664065,-0.03631497212147188
BTC,2023-02-10 04:00:00,9002,2023-2024,21911.71,21688.0,-0.01004862559376215,-0.005183707011752461,-0.006558145161506163
BTC,2023-02-10 12:00:00,9004,2023-2024,21654.09,21622.4,0.0037653994592884796,0.01335864243069659,0.017730420438319523
BTC,2023-02-10 20:00:00,9006,2023-2024,21625.19,21520.0,0.010916288456747329,0.007295799826273184,0.026226242738541617
ETH,2023-02-10 20:00:00,9006,2023-2024,1513.06,1506.0,0.01668032526444855,0.00116913111216907,0.02779794273293368
