label,symbol,signal_time,entry_time,exit_time,exit_reason,raw_entry_price,entry_price,raw_exit_price,exit_price,quantity,final_quantity,initial_notional,entry_equity,gross_pnl,net_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding_cost,holding_bars
p1-04_strategy,BTC,2021-08-21 00:00:00,2021-08-21 04:00:00,2021-08-28 08:00:00,GATE_OFF,48828.17,48876.99816999999,48949.03,48900.080969999995,2.902583906512948,2.901847765910884,141869.5882869048,425608.76486071444,350.3812243534996,-753.2876500216494,141.8695882869048,141.936163409181,283.8057516960858,141.7278604264592,142.07824165084173,283.8061020773009,536.0570206017622,43
p1-04_strategy,ETH,2021-08-26 04:00:00,2021-08-26 08:00:00,2021-08-28 16:00:00,GATE_OFF,3105.16,3108.2651599999995,3246.38,3243.13362,32.273690259715586,32.26550514791733,100315.18701890529,391159.6683347359,4557.537714791339,4069.8239428167885,100.31518701890529,104.66773725188814,204.98292427079343,100.214972046846,104.77250976165124,204.98748180849725,77.74336589525983,14
p1-04_strategy,ETH,2021-08-31 20:00:00,2021-09-01 00:00:00,2021-09-18 16:00:00,GATE_OFF,3429.19,3432.61919,3474.62,3471.14538,47.85544986664408,47.777917152379274,164269.5355583254,492808.6066749763,2167.2008152643457,-932.0387906644717,164.26953555832543,166.10635831251813,330.3758938708436,164.1054301281893,166.27263094345963,330.378061071649,2438.485650986325,106
p1-04_strategy,BTC,2021-09-07 16:00:00,2021-09-07 20:00:00,2021-09-19 04:00:00,GATE_OFF,46691.58,46738.27157999999,47844.88,47797.03512,1.6152074726403538,1.612590604137318,75492.00551431027,635691.1962465718,1857.7809503936494,1296.3832404547375,75.49200551431026,77.19709550590275,152.689101020213,75.41658892537119,77.27436987577354,152.69095880114475,256.0176501175542,68
p1-04_strategy,SOL,2021-09-17 08:00:00,2021-09-17 12:00:00,2021-09-19 16:00:00,GATE_OFF,138.84,138.97884,159.41,159.25059,1567.7592345592352,1567.7592345592352,217885.3598183304,653656.0794549913,32248.80745488346,31125.397673340933,217.88535981833041,249.6665830815066,467.551942899837,217.66769212618485,249.91649958110065,467.5841917072855,188.2736469354033,13
p1-04_strategy,BTC,2021-09-20 08:00:00,2021-09-20 12:00:00,2021-10-19 08:00:00,GATE_OFF,43734.0,43777.734,62297.06,62234.76294,5.224306483694786,5.20677778992823,228708.29957766566,686124.898732997,96880.50447410175,92736.74954166394,228.70829957766566,325.0349639077775,553.7432634854432,228.47981975789074,325.36032423199464,553.8401439898854,3036.171524962475,173
p1-04_strategy,ETH,2021-09-20 08:00:00,2021-09-20 12:00:00,2021-10-01 04:00:00,GATE_OFF,3042.2,3045.2421999999997,3002.98,2999.97702,75.10348424097948,75.10348424097948,228708.29957766566,686124.898732997,-2945.5586519312005,-4197.130493339777,228.70829957766566,225.3087268448706,454.0170264225362,228.47981975789773,225.5342611059921,454.01408086388983,343.5407341221506,64
p1-04_strategy,SOL,2021-09-21 12:00:00,2021-09-21 16:00:00,2021-09-24 00:00:00,GATE_OFF,138.51,138.64851,149.9,149.7501,1637.361291127782,1637.361291127782,227017.70334654316,681053.1100396295,18649.545105945457,17542.288358197657,227.01770334654316,245.19501708251445,472.21272042905764,226.79091243410346,245.4404575400584,472.23136997416185,162.81265734458214,14
p1-04_strategy,SOL,2021-09-26 04:00:00,2021-09-26 08:00:00,2021-09-27 20:00:00,GATE_OFF,126.98,127.10698,143.28,143.13672,1754.285569489931,1754.285569489931,222981.94079544526,668945.8223863358,28594.85478268587,27548.548521046243,222.98194079544527,251.10268236012078,474.0846231555661,222.75918161381213,251.35403639652486,474.113218010337,98.1084204737244,9
p1-04_strategy,ETH,2021-10-02 00:00:00,2021-10-02 04:00:00,2021-10-10 16:00:00,GATE_OFF,3267.03,3270.2970299999997,3557.66,3554.10234,76.02286099235108,75.89862813143145,248617.3365153886,745852.0095461658,22086.612993697283,20152.142038530113,248.61733651538862,270.18512496099646,518.8024614763851,248.36896754780443,270.4555805415336,518.824548089338,896.8439456014473,51
p1-04_strategy,SOL,2021-10-02 04:00:00,2021-10-02 08:00:00,2021-10-07 12:00:00,GATE_OFF,158.51,158.66850999999997,157.69,157.53231,1564.22045843194,1561.6642854581348,248192.5294509128,747366.3232129606,-1272.020610123445,-2927.360263918306,248.19252945091282,246.4258916916674,494.61842114258025,247.944584866013,246.67256425592697,494.61714912194,666.1040835303406,31
p1-04_strategy,SOL,2021-10-12 08:00:00,2021-10-12 12:00:00,2021-10-14 08:00:00,GATE_OFF,142.51,142.65250999999998,150.36,150.20964,1899.1599035193174,1899.1599035193174,270919.92712838843,812759.7813851654,14908.405242626686,13607.98293927346,270.91992712838845,285.2721254100714,556.1920525384598,270.6492778505137,285.5576830931765,556.2069609436902,188.02328987107626,11
p1-04_strategy,ETH,2021-10-13 08:00:00,2021-10-13 12:00:00,2021-10-20 04:00:00,GATE_OFF,3468.67,3472.13867,3844.24,3840.39576,69.80193109340995,69.68160059106263,242361.98419010403,809724.120422772,26211.654768066295,23517.803073156323,242.36198419010404,268.0631875747508,510.4251717648549,242.11986432576063,268.3315190938377,510.4513834195983,1672.9751397255197,40
p1-04_strategy,SOL,2021-10-16 16:00:00,2021-10-16 20:00:00,2021-10-19 04:00:00,GATE_OFF,158.19,158.34819,158.5,158.3415,1787.369242896691,1784.28802386007,283026.68447436136,868864.4148533549,557.8121700971956,-1083.8773370359522,283.0266844743614,283.01845095122087,566.0451354255822,282.7439405338106,283.30175270393124,566.0456932377418,509.59867846982377,14
p1-04_strategy,ETH,2021-10-21 00:00:00,2021-10-21 04:00:00,2021-10-24 12:00:00,GATE_OFF,4185.82,4190.005819999999,4026.21,4022.18379,69.45273130197948,69.45273130197948,291007.3483701902,873022.0451105706,-11085.350443108922,-13255.031374637114,291.0073483701902,279.35165001404744,570.3589983842376,290.7166317384305,279.63128129534226,570.3479130337728,1028.9740201101804,20
p1-04_strategy,SOL,2021-10-21 04:00:00,2021-10-21 08:00:00,2021-10-30 00:00:00,GATE_OFF,186.99,187.17699,200.36,200.15964000000002,1550.5368621007265,1550.5368621007265,290224.82273205905,870674.4681961772,20730.67784628672,16868.0500410388,290.22482273205907,310.3549001248111,600.5797228568701,289.9348878441842,310.6655656904848,600.600453534669,2661.4476288563797,52
p1-04_strategy,BTC,2021-10-24 16:00:00,2021-10-24 20:00:00,2021-10-26 00:00:00,GATE_OFF,60643.09,60703.73308999999,63078.78,63015.701219999995,4.748919374832527,4.748919374832527,288277.1341957633,864831.40258729,11566.895432085848,10014.516706997076,288.2771341957633,299.25648444231564,587.5336186380789,287.98914505066745,299.5560404828149,587.5451855334824,377.2999209172101,7
p1-04_strategy,ETH,2021-10-29 20:00:00,2021-10-30 00:00:00,2021-10-31 12:00:00,GATE_OFF,4418.89,4423.30889,4207.71,4203.50229,66.8164642151688,66.8164642151688,295549.8601613231,886649.5804839694,-14110.300912959368,-15536.353137668957,295.5498601613231,280.8631603381652,576.4130204994883,295.2546055557619,281.1443046427865,576.3989101985484,273.24029401155093,9
p1-04_strategy,SOL,2021-11-03 04:00:00,2021-11-03 08:00:00,2021-11-10 12:00:00,GATE_OFF,232.49,232.72249,240.64,240.39935999999997,1247.7138577457645,1246.338007225646,290371.0757821001,871113.2273463003,10168.38703528293,7491.599364588645,290.3710757821001,299.9491324407731,590.3202082228731,290.0809947872932,300.24938182261235,590.3303766099056,1496.1370858615064,43
p1-04_strategy,BTC,2021-11-05 16:00:00,2021-11-05 20:00:00,2021-11-07 16:00:00,GATE_OFF,61090.69,61151.78068999999,61938.0,61876.062,4.7660391555537185,4.7660391555537185,291451.7812003738,874355.3436011213,4038.31263689221,2203.1351733384045,291.4517812003738,294.90373428346953,586.3555154838433,291.1606205797463,295.19893321669537,586.3595537964417,662.4623942735205,11
p1-04_strategy,BTC,2021-11-08 08:00:00,2021-11-08 12:00:00,2021-11-12 08:00:00,GATE_OFF,66037.21,66103.24721,64488.11,64423.62189,4.468150972255619,4.463223954894239,295359.288290615,886077.8648718451,-6910.72555121392,-9464.173234514066,295.35928829061504,287.8653450168192,583.2246333074343,295.0642240665259,288.15349851532744,583.2177225818534,1387.005327410859,23
p1-04_strategy,ETH,2021-11-09 00:00:00,2021-11-09 04:00:00,2021-11-12 16:00:00,GATE_OFF,4814.0,4818.813999999999,4571.07,4566.49893,59.16717671799459,59.10193324060911,285115.6195091464,899557.9509595644,-14362.15766567466,-15926.735576244004,285.11561950914637,270.1981624236966,555.313781932843,284.8307887203902,270.46863105474915,555.2994197751393,453.96470886136245,21
p1-04_strategy,SOL,2021-11-12 12:00:00,2021-11-12 16:00:00,2021-11-14 12:00:00,GATE_OFF,222.3,222.52229999999997,236.27,236.03373000000002,1281.395247537692,1281.395247537692,285139.01769115654,855417.0530734697,17901.091608101557,16540.80662606467,285.13901769115654,302.4524998805948,587.5915175717514,284.85416352757966,302.75525513571824,587.6094186632979,185.08404580184018,11
p1-04_strategy,BTC,2021-11-16 20:00:00,2021-11-17 00:00:00,2021-11-23 12:00:00,GATE_OFF,60058.87,60118.928869999996,56147.19,56091.04281,4.834627385467001,4.8319959101079695,290652.6198998447,871957.8596995341,-18904.658632533752,-20583.594812069892,290.6526198998447,271.18614141065905,561.8387613105037,290.36225764217096,271.45759900968477,561.8198566518557,555.277561573782,39
p1-04_strategy,ETH,2021-11-16 20:00:00,2021-11-17 00:00:00,2021-11-21 20:00:00,GATE_OFF,4209.59,4213.79959,4345.99,4341.64401,68.97637481137177,68.93883114643143,290652.6198998447,871957.8596995341,9407.552456852962,7819.292382602239,290.6526198998447,299.4700402889564,590.1226601888011,290.36225764216664,299.76981009904176,590.1320677412084,408.0053463207138,29
