symbol,signal_time,entry_time,entry_price,period,sweep_low,ref_low,atr14,sweep_distance,ref_distance,atr35_distance,compound_distance,atr35_stop_price,atr19_stop_price,compound_stop_price
SOL,2021-11-10 04:00:00,2021-11-10 08:00:00,240.990435,2021,235.38,235.89,6.33642857142857,0.023280737262456063,0.021164470697768584,0.09202647399677914,0.09202647399677914,218.812935,228.9512207142857,218.812935
ETH,2021-11-10 20:00:00,2021-11-11 00:00:00,4630.99434,2021,4461.93,4574.04,96.81142857142855,0.03650713595991998,0.012298512116082662,0.0731678717620717,0.0731678717620717,4292.15434,4447.052625714286,4292.15434
BTC,2021-11-12 16:00:00,2021-11-12 20:00:00,63876.92249999999,2021,62278.0,62822.9,1562.9514285714286,0.025031301406231547,0.01650083408448477,0.0856385966308881,0.0856385966308881,58406.59249999999,60907.31478571428,58406.59249999999
BTC,2021-11-16 04:00:00,2021-11-16 08:00:00,60834.472035,2021,60293.06,60422.2,1153.255000000001,0.00889975727394346,0.006776947694438913,0.06635041556171868,0.06635041556171868,56798.07953499999,58643.287534999996,56798.07953499999
BTC,2021-11-16 08:00:00,2021-11-16 12:00:00,60607.04838,2021,58574.07,60293.06,1292.9935714285727,0.03354359656740638,0.005180723833164213,0.07466916177184084,0.07466916177184084,56081.57088,58150.36059428572,56081.57088
ETH,2021-11-16 08:00:00,2021-11-16 12:00:00,4294.586219999999,2021,4103.0,4252.78,109.60428571428565,0.044611101089967,0.009734632828025861,0.08932525285288133,0.08932525285288133,3910.9712199999994,4086.3380771428565,3910.9712199999994
SOL,2021-11-16 08:00:00,2021-11-16 12:00:00,225.042465,2021,213.81,224.13,6.6321428571428545,0.04991264648651974,0.0040546347552671775,0.10314719935190896,0.10314719935190896,201.829965,212.4413935714286,201.829965
BTC,2022-03-31 12:00:00,2022-03-31 16:00:00,46477.03690499999,2022,46230.0,46445.42,648.1671428571426,0.0053152464410530734,0.0006802693782871939,0.04881087846966305,0.04881087846966305,44208.451904999994,45245.51933357142,44208.451904999994
BTC,2022-03-31 20:00:00,2022-04-01 00:00:00,45533.105175,2022,45200.0,45500.0,666.9257142857142,0.007315670076085404,0.000727057266855883,0.05126467854605306,0.05126467854605306,43198.86517499999,44265.94631785714,43198.86517499999
ETH,2022-04-05 20:00:00,2022-04-06 00:00:00,3408.7034999999996,2022,3400.0,3405.97,61.27214285714285,0.002553316825590616,0.0008019177966050206,0.06291321612454706,0.06291321612454706,3194.2509999999997,3292.286428571428,3194.2509999999997
