symbol,signal_time,entry_time,exit_time,entry_price,exit_price,exit_reason,initial_quantity,initial_notional,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,trade_return_on_notional,expectancy_r,holding_bars,holding_hours
BTC,2021-04-04 00:00:00,2021-04-04 04:00:00,2021-04-08 00:00:00,57521.166209999996,56512.34969,TIME_T24,0.22934644903100154,13192.275214385532,131922.75214385532,5.2769100857542135,10.461272776874104,84.95668169978947,-231.36848658581076,-326.78644106247435,-0.0024771044854046834,-0.024771044854046836,-0.024771044854046836,24,96
ETH,2021-04-07 08:00:00,2021-04-07 12:00:00,2021-04-11 08:00:00,1978.86894,2146.06643,TIME_T24,6.64871338910489,13156.932416661803,131569.32416661803,5.262772966664722,10.970205209484535,104.1594039189705,1111.6481903877295,996.5185812592746,0.007574095159121543,0.07574095159121542,0.07574095159121542,24,96
SOL,2021-04-11 04:00:00,2021-04-11 08:00:00,2021-04-15 04:00:00,26.34826755,26.736824900000002,TIME_T24,502.87184571050824,13249.80193414279,132498.0193414279,5.299920773657116,10.677999368017787,142.08828356084558,195.39455175888537,42.62826883002202,0.00032172759292480626,0.0032172759292480625,0.0032172759292480625,24,96
BTC,2021-04-17 16:00:00,2021-04-17 20:00:00,2021-04-21 16:00:00,60735.372509999994,55450.96065,TIME_T24,0.2183819857712142,13263.511255288213,132635.1125528821,5.305404502115286,10.14920086198267,30.026194129234515,-1154.0203556197541,-1194.1957506109713,-0.00900361697310613,-0.0900361697310613,-0.0900361697310613,24,96
BTC,2021-05-04 16:00:00,2021-05-04 20:00:00,2021-05-08 16:00:00,54566.999865,59001.04472,TIME_T24,0.24087986718613624,13144.091680227113,131440.91680227112,5.257636672090846,10.9425021984896,81.32420426594533,1068.0721357697707,975.8054293053358,0.007423909183266402,0.07423909183266403,0.07423909183266403,24,96
SOL,2021-05-04 16:00:00,2021-05-04 20:00:00,2021-05-08 16:00:00,44.5732755,44.8745515,TIME_T24,294.8872734342154,13144.091680227113,131440.91680227112,5.257636672090846,10.550810327458159,135.88227011797215,88.8424581911671,-57.59062225426321,-0.000438148360916394,-0.00438148360916394,-0.00438148360916394,24,96
BTC,2021-05-10 16:00:00,2021-05-10 20:00:00,2021-05-14 16:00:00,55761.626879999996,50113.020955,TIME_T24,0.23736597910631513,13235.91316093222,132359.13160932218,5.294365264372888,10.052415778356433,43.4314200863821,-1340.786875973357,-1394.2707118380954,-0.010533997124984882,-0.1053399712498488,-0.1053399712498488,24,96
SOL,2021-05-10 20:00:00,2021-05-11 00:00:00,2021-05-14 20:00:00,42.889434,42.678650000000005,TIME_T24,308.6110578085267,13236.15359554899,132361.5359554899,5.294461438219597,10.562902767155549,27.64202400875332,-65.0502732091115,-103.25519998502037,-0.0007800997415120861,-0.007800997415120861,-0.007800997415120861,24,96
ETH,2021-07-08 08:00:00,2021-07-08 12:00:00,2021-07-12 08:00:00,2169.674295,2099.92951,TIME_T24,6.0313940207094126,13086.160569749909,130861.60569749908,5.234464227899964,10.300665144110063,14.486213735597552,-420.6582792246627,-445.44515810437036,-0.003403940794781822,-0.034039407947818213,-0.034039407947818213,24,96
BTC,2021-08-03 04:00:00,2021-08-03 08:00:00,2021-08-07 04:00:00,38612.726715,43186.286055000004,TIME_T24,0.3377543406918516,13041.61605393947,130416.16053939468,5.216646421575788,11.051188650950282,13.617532033263945,1544.7395194967623,1520.0707988125482,0.01165554017635247,0.11655540176352468,0.11655540176352468,24,96
BTC,2021-08-17 00:00:00,2021-08-17 04:00:00,2021-08-21 00:00:00,46440.2085,48803.755915,TIME_T24,0.28409913650195434,13193.623133820722,131936.2313382072,5.277449253528289,10.823491218929748,16.526211492361703,671.4817796829266,644.1320769716351,0.004882147007219403,0.04882147007219403,0.04882147007219403,24,96
ETH,2021-08-17 16:00:00,2021-08-17 20:00:00,2021-08-21 16:00:00,3118.47846,3215.801295,TIME_T24,4.221651615564185,13165.129628761111,131651.2962876111,5.266051851504445,10.696448944452506,25.80932876412494,410.86310360903826,374.3573259004608,0.002843552144618642,0.028435521446186416,0.028435521446186416,24,96
BTC,2021-08-24 16:00:00,2021-08-24 20:00:00,2021-08-28 16:00:00,48267.321599999996,48627.604035000004,TIME_T24,0.2754549379037417,13295.472074107929,132954.72074107928,5.318188829643172,10.676074289590638,23.43782092783802,99.24157576073613,65.12768054330746,0.0004898485753667928,0.004898485753667928,0.004898485753667928,24,96
SOL,2021-08-24 16:00:00,2021-08-24 20:00:00,2021-08-28 16:00:00,71.6428035,93.883035,TIME_T24,185.58000838294845,13295.472074107929,132954.72074107928,5.318188829643172,12.28731459856983,17.287951611540674,4127.3423482087155,4097.767081998605,0.030820771606739274,0.30820771606739267,0.30820771606739267,24,96
ETH,2021-08-25 08:00:00,2021-08-25 12:00:00,2021-08-29 08:00:00,3141.259845,3180.239085,TIME_T24,4.202497408667357,13201.136358563323,132011.36358563323,5.280454543425329,10.62643314888739,17.772964400854267,163.81015509182348,135.41075754208183,0.0010257507676923849,0.01025750767692385,0.01025750767692385,24,96
