symbol,direction,side,signal_time,entry_time,exit_time,raw_entry_price,entry_price,raw_exit_price,exit_price,exit_reason,quantity,final_quantity,initial_notional,entry_equity,nominal_pct,gross_pnl,net_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding_cost,expectancy_r,holding_bars,holding_days
ADA,-1,SHORT,2022-07-19 04:00:00,2022-07-19 08:00:00,2022-07-22 16:00:00,0.47896286,0.47848389714,0.49193225,0.49242418224999995,ADX_EXIT,11948.002598425639,10359.918290670643,5716.926846333547,106724.2827246506,0.05356725480257626,-180.2109253126811,-198.16131874448064,5.716926846333546,5.908763281563197,11.625690127896743,5.722649495829224,5.902860421141321,11.625509916970547,-5.300806613067761,-0.03466220997240292,20,3.3333333333333335
DOGE,-1,SHORT,2022-07-26 08:00:00,2022-07-26 12:00:00,2022-08-02 16:00:00,0.06159,0.06152841,0.06729,0.06735729,ADX_EXIT,216432.32230688186,187038.57723417907,13316.736664149972,106533.89331319978,0.125,-1357.4046907062072,-1389.180465581988,13.316736664149973,14.702158893008647,28.018895557158622,13.33006673088091,14.687471421586494,28.017538152467402,-24.260658833845145,-0.10431838524837733,43,7.166666666666667
XRP,-1,SHORT,2022-07-26 08:00:00,2022-07-26 12:00:00,2022-08-06 20:00:00,0.33103273,0.33070169727,0.37387042,0.37424429041999996,ADX_EXIT,40268.123127525345,34799.29604499558,13316.736664149972,106533.89331319978,0.125,-1808.1350984315616,-1858.7555978933742,13.316736664149973,15.153340031141727,28.470076695291702,13.330066730881407,15.138201829311416,28.468268560192826,-6.317845793671753,-0.13958041258691672,68,11.333333333333334
BNB,-1,SHORT,2022-07-26 12:00:00,2022-07-26 16:00:00,2022-08-01 04:00:00,239.86,239.62014000000002,287.46351681,287.75098032680995,MACRO_UNKNOWN_EXIT,55.992113266738755,48.38780589757051,13416.838019871799,107334.70415897439,0.125,-2694.6815932280238,-2754.5041088067037,13.416838019871799,16.14107483126937,29.557912851141168,13.43026828815957,16.124949881386147,29.555218169545718,0.7093845579932656,-0.2053020320232668,27,4.5
SOL,-1,SHORT,2022-07-26 12:00:00,2022-07-26 16:00:00,2022-08-03 20:00:00,34.9871682,34.9521810318,40.07190494,40.111976844939996,ADX_EXIT,383.86268392421533,331.73016622109077,13416.838019871799,107334.70415897439,0.125,-2195.0758133728846,-2232.7167471524335,13.416838019871799,15.64096944563437,29.05780746550617,13.430268288158862,15.625344101530096,29.05561238968896,-20.47248607564584,-0.16641154524229457,49,8.166666666666666
BTC,-1,SHORT,2022-07-26 20:00:00,2022-07-27 00:00:00,2022-08-01 04:00:00,21241.20303334,21219.96183030666,23366.3,23389.666299999997,MACRO_UNKNOWN_EXIT,0.615988719950421,0.5323310887385257,13071.257125247394,104570.05700197915,0.125,-1382.202026042996,-1419.0936908675724,13.071257125247394,14.48101003624986,27.552267161497255,13.08434146671401,14.466543492755742,27.55088495946975,-18.211487296390985,-0.10856596861877689,25,4.166666666666667
LTC,-1,SHORT,2022-07-28 04:00:00,2022-07-28 08:00:00,2022-08-02 16:00:00,59.48,59.420519999999996,58.79464494,58.85343958493999,ADX_EXIT,209.5957319342138,181.13046645475666,12454.28738131159,99634.29905049271,0.125,18.19200261514483,-16.031904204764444,12.45428738131159,12.461010694964722,24.91529807627631,12.466754135447172,12.448562132830578,24.91531626827775,-15.606707524644783,-0.001287259857904137,32,5.333333333333333
ETH,-1,SHORT,2022-07-28 12:00:00,2022-07-28 16:00:00,2022-08-03 04:00:00,1728.48,1726.75152,1619.14,1620.75914,ADX_EXIT,4.426356421621969,3.825211496172265,7643.217679097495,96265.59680962961,0.07939718790932516,416.5055352726696,394.95443453063865,7.6432176790974955,7.2415973753848455,14.884815054482342,7.650868547645098,7.2343630123715945,14.885231560016692,-8.218945872468122,0.05167384354507545,33,5.5
ADA,-1,SHORT,2022-07-29 04:00:00,2022-07-29 08:00:00,2022-08-03 00:00:00,0.53040079,0.52987038921,0.4959,0.49639589999999995,ADX_EXIT,3741.128324343986,3397.4779917906244,1982.313121304703,94879.79327323106,0.020892890392331658,112.560129404398,107.1832360325725,1.982313121304703,1.8736090266083472,3.8559221479130503,1.9842974187234126,1.8717372893187825,3.856034708042195,-2.3350634841297513,0.05406978084371832,28,4.666666666666667
ADA,-1,SHORT,2022-08-08 04:00:00,2022-08-08 08:00:00,2022-08-10 04:00:00,0.53991281,0.53937289719,0.50655164,0.5070581916399999,TREND_EXIT,22428.693424482197,22428.693424482197,12097.429352549267,96779.43482039413,0.125,748.2474542120339,703.798904187349,12.097429352549266,11.372652728665898,23.470082081215164,12.109538891440419,11.361291437226614,23.470830328667034,-2.492362385197316,0.05817755852726173,11,1.8333333333333333
ETH,-1,SHORT,2022-08-08 08:00:00,2022-08-08 12:00:00,2022-08-14 08:00:00,1788.89,1787.10111,2015.73127474,2017.7470060147396,TREND_EXIT,6.757561646913525,6.757561646913525,12076.44592009259,96611.56736074072,0.125,-1532.8938981199963,-1576.8112873702808,12.07644592009259,13.635049781019799,25.71149570111239,12.088534454547391,13.621428352664868,25.709962807212257,-7.5040692580400865,-0.1305691507090516,35,5.833333333333333
SOL,-1,SHORT,2022-08-08 12:00:00,2022-08-08 16:00:00,2022-08-16 20:00:00,42.5,42.4575,43.11842318,43.16154160318,ADX_EXIT,285.46042699128753,285.46042699128753,12119.936078982591,96959.48863186073,0.125,-176.53534502411006,-197.40117365282543,12.119936078982592,12.320912095645983,24.440848174628577,12.132068147128829,12.308603492153111,24.440671639281938,-28.01569118519512,-0.016287311448378222,49,8.166666666666666
ADA,-1,SHORT,2022-08-11 00:00:00,2022-08-11 04:00:00,2022-08-12 00:00:00,0.5439,0.5433561,0.5303,0.5308303,TREND_EXIT,22189.73979949012,22189.73979949012,12056.930477465732,96455.44381972586,0.125,301.78046127306686,257.6691098860509,12.056930477465732,11.778986234685279,23.83591671215101,12.068999476943597,11.767219015669244,23.836218492612844,-3.560783817747893,0.02137103721114023,5,0.8333333333333334
DOGE,-1,SHORT,2022-08-11 20:00:00,2022-08-12 00:00:00,2022-08-17 00:00:00,0.07082,0.07074918,0.08671267,0.08679938267,TREND_EXIT,171421.4177177793,171421.4177177793,12127.924737970356,97023.39790376285,0.125,-2724.3440227208216,-2759.136812929477,12.127924737970355,14.879273234319442,27.007197972289795,12.140064802772995,14.864408825492015,27.00447362826501,-19.218881391899338,-0.22750279809134327,30,5.0
ADA,-1,SHORT,2022-08-12 00:00:00,2022-08-12 04:00:00,2022-08-12 08:00:00,0.5317,0.5311682999999999,0.53250033,0.5330328303299999,TREND_EXIT,22724.115952478838,22724.115952478838,12070.330039481063,96562.6403158485,0.125,-18.186791720247747,-65.34277337384633,12.070330039481064,12.112699842896896,24.18302988237796,12.08241245193354,12.100599243652407,24.183011695585947,-1.2100599243653245,-0.005413503455176077,1,0.16666666666666666
ADA,-1,SHORT,2022-08-13 20:00:00,2022-08-14 00:00:00,2022-08-14 04:00:00,0.5591,0.5585409,0.59030893,0.5908992389299998,TREND_EXIT,21217.38035560707,21217.38035560707,11850.774719463094,94806.19775570475,0.125,-662.1717383015143,-710.9472933771337,11.850774719463095,12.537333904216549,24.388108623679642,11.862637356820647,12.524809095119187,24.387446451939834,0.0,-0.059991630100731816,1,0.16666666666666666
