symbol,datetime,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24,signal_time,entry_time,raw_entry_open,sweep_low,atr14_previous,atr50_previous,bbw_previous,bbw_historical_median,scheme_a_group,scheme_b_group,mae_first6,sweep_stop_hit_first6
ETH,2023-04-03 00:00:00,2023-2024,1778.34,1763.0,0.0163307179814838,0.0726629656449461,0.0538505557867259,2023-04-03 00:00:00,2023-04-03 04:00:00,1778.33,1762.77,16.9171428571429,26.92780000000002,0.03442728279733704,0.09336770368608788,compression,compression,0.006153915838693075,False
ETH,2023-04-20 16:00:00,2023-2024,1927.7,1923.03,-0.0450956950627304,-0.029298837072923,-0.0512851035855481,2023-04-20 16:00:00,2023-04-20 20:00:00,1927.7,1914.43,38.13500000000007,34.08760000000004,0.12822552363042267,0.09290762602016331,expansion,expansion,0.04772933862995359,True
ETH,2023-04-21 04:00:00,2023-2024,1928.44,1914.43,-0.0410934078680242,-0.0284761295359294,-0.0602788709917512,2023-04-21 04:00:00,2023-04-21 08:00:00,1928.44,1898.0,38.24357142857145,33.95900000000003,0.1404151791065151,0.09292619117067685,expansion,expansion,0.054112154891005626,True
ETH,2023-04-21 12:00:00,2023-2024,1903.91,1898.0,-0.019678574504993,-0.0237042151867809,-0.0478297082846378,2023-04-21 12:00:00,2023-04-21 16:00:00,1903.91,1890.6,40.41357142857146,34.55940000000003,0.14568756727224358,0.0929471672350075,expansion,expansion,0.04192532418969966,True
ETH,2023-04-21 20:00:00,2023-2024,1848.78,1836.61,0.0136345969486516,0.0071252167631346,0.0093247294655482,2023-04-21 20:00:00,2023-04-22 00:00:00,1848.77,1825.0,37.98000000000002,34.76480000000004,0.14605025633034938,0.09296689520592631,expansion,expansion,0.004354440963499862,False
ETH,2023-04-24 16:00:00,2023-2024,1831.33,1825.0,0.0034505443081332,-0.0014152737146086,0.0327822485353018,2023-04-24 16:00:00,2023-04-24 20:00:00,1831.32,1806.0,27.307857142857138,32.251600000000025,0.03920347628641877,0.09292614264594543,compression,compression,0.0166876241236347,True
ETH,2023-04-25 08:00:00,2023-2024,1826.03,1806.0,0.0473540660377887,0.0296168074540017,0.0386301449296501,2023-04-25 08:00:00,2023-04-25 12:00:00,1826.03,1805.65,29.618571428571467,31.87380000000003,0.035270634497003,0.09288660992742723,compression,compression,0.013838972968732554,True
ETH,2023-04-25 12:00:00,2023-2024,1814.99,1805.65,0.0737525351346589,0.0458739231129653,0.0486854749173411,2023-04-25 12:00:00,2023-04-25 16:00:00,1815.0,1801.66,29.346428571428596,31.381800000000027,0.03748173944784929,0.09288406193574182,compression,compression,0.0018103895710546432,False
ETH,2023-04-26 20:00:00,2023-2024,1866.01,1801.66,0.0226094421951727,0.0132715984615526,0.0021840965830112,2023-04-26 20:00:00,2023-04-27 00:00:00,1866.01,1785.0,41.39928571428571,35.29760000000002,0.06933620840317316,0.09277296090779598,expansion,compression,0.003081510782381813,False
ETH,2023-05-01 20:00:00,2023-2024,1830.73,1808.01,0.0212664162852195,0.0398302043058591,0.0850767623317141,2023-05-01 20:00:00,2023-05-02 00:00:00,1830.73,1806.12,26.87857142857141,34.135999999999996,0.06110518575570936,0.0925021610044207,compression,compression,0.00475275681982238,False
ETH,2023-05-08 00:00:00,2023-2024,1865.39,1860.0,-0.0117662372942159,-0.0116794529261957,-0.0563114494095758,2023-05-08 00:00:00,2023-05-08 04:00:00,1865.38,1840.0,33.09071428571425,27.696999999999974,0.07689466598654934,0.09228516890465949,expansion,compression,0.029782088659537517,True
ETH,2023-05-08 04:00:00,2023-2024,1851.43,1840.0,-0.0015188986852799,-0.0071225217900815,-0.0509456861376913,2023-05-08 04:00:00,2023-05-08 08:00:00,1851.43,1838.34,33.01571428571425,28.086199999999977,0.07834648737723579,0.09227218065995033,expansion,compression,0.02247177184323903,True
ETH,2023-05-08 08:00:00,2023-2024,1862.78,1838.34,-0.008637243212639,-0.0066195266581953,-0.0539986284168488,2023-05-08 08:00:00,2023-05-08 12:00:00,1862.79,1835.0,34.34071428571425,28.48019999999998,0.08196224452483944,0.09226626690093646,expansion,compression,0.028433109767460597,True
ETH,2023-07-07 00:00:00,2023-2024,1858.02,1846.0,0.0031811223077654,0.0052712784369285,0.011659303308417,2023-07-07 00:00:00,2023-07-07 04:00:00,1858.03,1826.0,24.266428571428573,24.938400000000005,0.062347133962512874,0.09029131579226868,compression,compression,0.0040501242573117435,False
ETH,2023-07-17 08:00:00,2023-2024,1910.09,1898.39,-0.0083801722736406,-0.000424153728046,-0.0109704364485623,2023-07-17 08:00:00,2023-07-17 12:00:00,1910.09,1889.36,13.34571428571428,20.556199999999986,0.05717529017822965,0.09007417599747145,compression,compression,0.01977192798194867,True
ETH,2023-10-27 16:00:00,2023-2024,1774.34,1756.21,0.0015430450600936,0.0105007117796328,0.020710147559516,2023-10-27 16:00:00,2023-10-27 20:00:00,1774.33,1744.66,35.69142857142856,31.11519999999999,0.047301565159819814,0.08673275949443204,expansion,compression,0.0008264707152039032,False
ETH,2023-11-03 00:00:00,2023-2024,1798.34,1777.77,0.0200333145446025,0.0489612067644856,0.0497710112647821,2023-11-03 00:00:00,2023-11-03 04:00:00,1798.34,1777.11,28.151428571428546,26.495399999999986,0.041617506586780754,0.08655509953475185,expansion,compression,0.010353915316327808,False
ETH,2023-11-17 16:00:00,2023-2024,1938.88,1912.72,0.0128930895491685,0.0227776818457621,0.0238106486937183,2023-11-17 16:00:00,2023-11-17 20:00:00,1938.87,1904.0,39.79214285714287,40.443200000000004,0.08140733018393084,0.08610639718586774,compression,compression,0.012289385693409139,False
ETH,2023-11-22 00:00:00,2023-2024,1978.31,1931.43,0.0402348565460923,0.0424029027351137,0.0481759353509765,2023-11-22 00:00:00,2023-11-22 04:00:00,1978.31,1928.41,38.41714285714287,35.846400000000024,0.06066641561558684,0.0860620524977809,expansion,compression,0.0010403455156327386,False
ETH,2023-11-26 16:00:00,2023-2024,2057.05,2040.35,-0.0307341359755854,0.0009475104266898,-0.0076223749426816,2023-11-26 16:00:00,2023-11-26 20:00:00,2057.04,2036.42,23.647857142857188,28.94700000000002,0.029743120395765724,0.0859142456459731,compression,compression,0.03512444765444439,True
ETH,2023-11-27 04:00:00,2023-2024,2045.56,2036.42,-0.0152409986324133,0.0058735244418399,0.0228073999194112,2023-11-27 04:00:00,2023-11-27 08:00:00,2045.57,2030.0,20.505000000000013,29.62440000000001,0.029077921191510224,0.08589194935716707,compression,compression,0.0297141597711632,True
ETH,2023-12-11 16:00:00,2023-2024,2187.61,2161.0,-0.0039206216947688,0.0294663532410494,0.0246568228088408,2023-12-11 16:00:00,2023-12-11 20:00:00,2187.6,2156.62,41.409285714285716,38.81300000000002,0.08164182960499448,0.08552308202233164,expansion,compression,0.009920894370880015,False
ETH,2023-12-13 00:00:00,2023-2024,2166.03,2156.62,0.038651804349575,0.0514767930144222,0.0229250916240452,2023-12-13 00:00:00,2023-12-13 04:00:00,2166.03,2150.0,47.410000000000046,38.951200000000014,0.11816520422973074,0.0855424027495496,expansion,expansion,0.010517686360717898,True
ETH,2023-12-13 04:00:00,2023-2024,2172.49,2150.0,0.049546306713015,0.0445488213982653,0.0164984386491872,2023-12-13 04:00:00,2023-12-13 08:00:00,2172.48,2144.32,49.959285714285734,39.57260000000001,0.11977358783622849,0.08555155135300489,expansion,expansion,0.0024872671927404673,False
ETH,2023-12-26 08:00:00,2023-2024,2242.6,2220.0,0.0191370366867844,0.0684409786828754,0.020103353412138,2023-12-26 08:00:00,2023-12-26 12:00:00,2242.6,2218.32,27.83642857142854,36.36880000000002,0.02740909856097953,0.08499995924695308,compression,compression,0.029090645081454588,True
ETH,2024-01-07 20:00:00,2023-2024,2221.42,2206.17,0.0479104599094852,0.0538359531569945,0.1642678561485298,2024-01-07 20:00:00,2024-01-08 00:00:00,2221.42,2203.46,25.265000000000036,36.233799999999995,0.025084364423855882,0.0849089606561984,compression,compression,0.025264312320795734,True
ETH,2024-01-18 20:00:00,2023-2024,2470.81,2430.0,0.0085395688216512,0.0004855527911502,-0.0654819766434554,2024-01-18 20:00:00,2024-01-19 00:00:00,2470.81,2428.56,37.160714285714256,51.039999999999985,0.0460631008620654,0.08475594769961174,compression,compression,0.022995291625721587,True
ETH,2024-03-05 16:00:00,2023-2024,3376.46,3360.0,0.1319178260169748,0.1364757780678897,0.1393114077343944,2024-03-05 16:00:00,2024-03-05 20:00:00,3376.46,3200.0,73.41357142857139,72.10100000000003,0.13454159118848988,0.0838829026659755,expansion,expansion,0.015827674323219368,False
ETH,2024-03-11 00:00:00,2023-2024,3866.93,3791.26,0.0409803505061864,0.0447189875222631,-0.0381460192458243,2024-03-11 00:00:00,2024-03-11 04:00:00,3866.92,3722.95,58.87642857142847,89.55399999999997,0.024576404694379567,0.08397644558722381,compression,compression,0.008951866582199269,False
ETH,2024-03-14 12:00:00,2023-2024,3845.81,3828.98,-0.041655933340311,-0.0441937818751749,-0.0870527451798849,2024-03-14 12:00:00,2024-03-14 16:00:00,3845.81,3820.2,74.30785714285717,81.18299999999999,0.030309561601870812,0.08379541687490967,compression,compression,0.07218092104030799,True
ETH,2024-03-15 08:00:00,2023-2024,3689.33,3623.0,0.0008019920176476,-0.0303642320471323,-0.1186660382205679,2024-03-15 08:00:00,2024-03-15 12:00:00,3689.33,3570.0,102.42785714285719,83.1792,0.09797672976483845,0.08379530902014162,expansion,expansion,0.02289912363169069,False
ETH,2024-03-17 04:00:00,2023-2024,3472.72,3468.8,0.0433712085897635,-0.0329555087973802,0.0123943636386095,2024-03-17 04:00:00,2024-03-17 08:00:00,3472.72,3412.0,122.62857142857145,88.33539999999999,0.143126045775993,0.08389513007131896,expansion,expansion,0.004157876370621463,False
ETH,2024-03-19 00:00:00,2023-2024,3419.17,3412.0,-0.0785030712368983,0.0263862829580917,-0.0343971566843042,2024-03-19 00:00:00,2024-03-19 04:00:00,3419.18,3362.15,101.72714285714285,99.6092,0.09013290473948118,0.08394692380822057,expansion,expansion,0.07892964180700134,True
ETH,2024-03-20 04:00:00,2023-2024,3218.48,3150.88,0.0884233137933914,0.0871056199366247,0.0376003855615595,2024-03-20 04:00:00,2024-03-20 08:00:00,3218.47,3056.56,109.92785714285712,104.45700000000001,0.17625207057302017,0.08398037471176323,expansion,expansion,0.024648224222966884,False
ETH,2024-03-29 16:00:00,2023-2024,3500.34,3460.02,0.0024766895799101,0.0386234499725179,-0.0657700167025447,2024-03-29 16:00:00,2024-03-29 20:00:00,3500.35,3445.91,63.005714285714284,72.77220000000001,0.04441044907997006,0.08422546721812268,compression,compression,0.007449865422538738,False
ETH,2024-04-01 16:00:00,2023-2024,3486.33,3437.23,-0.0617595170573086,-0.0506061842696498,-0.0488547040325007,2024-04-01 16:00:00,2024-04-01 20:00:00,3486.33,3413.71,57.28285714285711,62.354000000000006,0.06397761790464139,0.08402292707834463,compression,compression,0.07914775635160733,True
ETH,2024-04-02 16:00:00,2023-2024,3277.53,3232.0,0.0111533327876587,0.0266617434471712,0.0216433644955195,2024-04-02 16:00:00,2024-04-02 20:00:00,3277.53,3212.0,72.42071428571428,65.75540000000002,0.12649387868588974,0.08402292707834463,expansion,expansion,0.023292111651960046,True
ETH,2024-04-03 00:00:00,2023-2024,3315.41,3212.0,-0.0124558120611725,-0.0021468339437476,0.0217794885849469,2024-04-03 00:00:00,2024-04-03 04:00:00,3315.4,3202.79,77.57285714285715,64.51580000000001,0.14876608766480892,0.08404498666441364,expansion,expansion,0.01633908870502907,False
