symbol,signal_time,entry_time,exit_time,entry_price,sweep_low,exit_price,exit_reason,initial_quantity,initial_notional,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours,holding_window
BTC,2021-04-04 00:00:00,2021-04-04 04:00:00,2021-04-06 00:00:00,57521.166209999996,56388.0,58579.39565,TIME,1.1515076709249943,66236.06413136657,1304.849583247998,1133.1662099999958,130484.9583247998,26.494425652546628,53.476275032196725,196.39865526355084,1218.5593177586643,968.6843874629167,0.0074237245418869845,0.7423724541886985,12,48,12
ETH,2021-04-07 08:00:00,2021-04-07 12:00:00,2021-04-07 12:00:00,1978.86894,1957.59,1956.611205,STOP,61.7764055503995,122247.41016852918,1314.5364271226272,21.278940000000148,131453.64271226272,48.898964067411676,97.24792698922602,0.0,-1375.0028639933298,-1472.2507909825558,-0.01119977172641117,-1.1199771726411172,1,4,12
BTC,2021-04-07 12:00:00,2021-04-07 16:00:00,2021-04-07 16:00:00,56479.68573,55612.0,55584.194,STOP,1.4074265948872182,79491.0117672741,1221.2039724061265,867.6857299999974,129981.39192128018,31.796404706909644,63.08867386329787,0.0,-1260.3388763035562,-1323.427550166854,-0.010181669319008008,-1.083707210319106,1,4,12
ETH,2021-04-07 12:00:00,2021-04-07 16:00:00,2021-04-09 12:00:00,1977.898455,1930.01,2061.2088799999997,TIME,25.50101005359488,50438.40838594478,1221.2039724061265,47.88845500000002,129981.39192128018,20.17536335437791,41.200526702953525,84.86274641816951,2124.4999854942535,1998.4367123731304,0.015374790828393584,1.6364479296899352,12,48,12
BTC,2021-04-07 16:00:00,2021-04-07 20:00:00,2021-04-09 16:00:00,56181.916919999996,55473.0,58341.404705,TIME,1.3913393786077244,78168.11337646359,986.3440269572964,708.916919999996,128784.20420452711,31.267245350585437,63.73632285832802,127.36032401031886,3004.5803928928776,2813.4837460242306,0.021846497118202707,2.85243654255539,12,48,12
BTC,2021-04-17 16:00:00,2021-04-17 20:00:00,2021-04-18 00:00:00,60735.372509999994,59580.91,59551.11954500001,STOP,1.1561214303053622,70217.46573639016,1334.6988482951072,1154.4625099999903,133469.88482951073,28.086986294556066,55.62631649641648,56.62664767229727,-1369.140231739149,-1481.3931959078625,-0.011099081997411902,-1.1099081997411904,2,8,12
BTC,2021-05-04 16:00:00,2021-05-04 20:00:00,2021-05-04 20:00:00,54566.999865,53201.01,53174.40949500001,STOP,0.9662479569978599,52725.25213905875,1319.8849163360285,1365.989864999996,131988.49163360285,21.0901008556235,41.64196667126805,0.0,-1345.587599947385,-1387.2295666186528,-0.01051023122886783,-1.0510231228867828,1,4,12
BTC,2021-05-10 16:00:00,2021-05-10 20:00:00,2021-05-10 20:00:00,55761.626879999996,55516.85,55489.091575,STOP,2.341198593989161,130549.04245000418,573.071287297048,244.77687999999762,130601.2620669842,52.219616980001675,104.184010250852,0.0,-638.0592728784015,-742.2432831292535,-0.005683278027960891,-1.295202358907429,1,4,12
BTC,2021-05-10 20:00:00,2021-05-11 00:00:00,2021-05-12 20:00:00,55844.04807,53400.0,53373.3,STOP,0.5313275969398389,29671.483864425947,1298.5901878385496,2444.048069999997,129859.01878385495,11.868593545770379,23.21207643767002,49.670080586033535,-1312.7766346768417,-1385.6587917005452,-0.01067048561337829,-1.0670485613378289,12,48,12
ETH,2021-07-08 08:00:00,2021-07-08 12:00:00,2021-07-08 20:00:00,2169.674295,2124.21,2123.147895,STOP,28.25807812309749,61310.82572978647,1284.733599921544,45.464294999999765,128473.3599921544,24.524330291914588,48.52276192543458,6.144379990930073,-1314.7466459864756,-1369.4137879028403,-0.010659126436690591,-1.0659126436690591,3,12,12
BTC,2021-08-03 04:00:00,2021-08-03 08:00:00,2021-08-03 12:00:00,38612.726715,37955.52,37936.54224,STOP,1.93400254901917,74677.1118913906,1271.0394620425157,657.2067150000003,127103.94620425155,29.870844756556238,59.218592513809604,0.0,-1307.7424982571786,-1366.9610907709882,-0.010754670736771069,-1.0754670736771066,2,8,12
BTC,2021-08-03 12:00:00,2021-08-03 16:00:00,2021-08-03 16:00:00,38188.534725,37703.75,37684.898125,STOP,2.5936663972545992,99048.3192766229,1257.3698511348057,484.7847249999977,125736.98511348056,39.619327710649166,78.71614929095931,0.0,-1306.2653258475505,-1384.9814751385097,-0.011014909208205777,-1.1014909208205776,1,4,12
BTC,2021-08-03 16:00:00,2021-08-03 20:00:00,2021-08-04 08:00:00,38027.8044,37642.03,37623.208985,STOP,3.2234384562153786,122580.28710839638,1243.5200363834206,385.77440000000206,124352.00363834205,49.032114843358556,97.54255431874934,24.509697964417775,-1304.1884199194315,-1426.2406722025985,-0.011469382321740402,-1.1469382321740402,4,16,12
