datetime,scale,sigma_annualized,prior_return_count
2022-03-10 16:00:00,1.0,0.0,4797
2022-03-10 20:00:00,1.0,0.0,4798
2022-03-11 00:00:00,1.0,0.0,4799
2022-03-11 04:00:00,1.0,0.0,4800
2022-03-11 08:00:00,1.0,0.0,4801
2022-03-11 12:00:00,1.0,0.0,4802
2022-03-11 16:00:00,1.0,0.0,4803
2022-03-11 20:00:00,1.0,0.0,4804
2022-03-12 00:00:00,1.0,0.0,4805
2022-03-12 04:00:00,1.0,0.0,4806
2022-03-12 08:00:00,1.0,0.0,4807
2022-03-12 12:00:00,1.0,0.0,4808
2022-03-12 16:00:00,1.0,0.0,4809
2022-03-12 20:00:00,1.0,0.0,4810
2022-03-13 00:00:00,1.0,0.0,4811
2022-03-13 04:00:00,1.0,0.0,4812
2022-03-13 08:00:00,1.0,0.0,4813
2022-03-13 12:00:00,1.0,0.0,4814
2022-03-13 16:00:00,1.0,0.0,4815
2022-03-13 20:00:00,1.0,0.0,4816
2022-03-14 00:00:00,1.0,0.0,4817
2022-03-14 04:00:00,1.0,0.0,4818
2022-03-14 08:00:00,1.0,0.0,4819
2022-03-14 12:00:00,1.0,0.0,4820
2022-03-14 16:00:00,1.0,0.0,4821
2022-03-14 20:00:00,1.0,0.0,4822
2022-03-15 00:00:00,1.0,0.0,4823
2022-03-15 04:00:00,1.0,0.0,4824
2022-03-15 08:00:00,1.0,0.0,4825
2022-03-15 12:00:00,1.0,0.0,4826
2022-03-15 16:00:00,1.0,0.0,4827
2022-03-15 20:00:00,1.0,0.0,4828
2022-03-16 00:00:00,1.0,0.0,4829
2022-03-16 04:00:00,1.0,0.0,4830
2022-03-16 08:00:00,1.0,0.0,4831
2022-03-16 12:00:00,1.0,0.0,4832
2022-03-16 16:00:00,1.0,0.0,4833
2022-03-16 20:00:00,1.0,0.0,4834
2022-03-17 00:00:00,1.0,0.0,4835
2022-03-17 04:00:00,1.0,0.0,4836
2022-03-17 08:00:00,1.0,0.0,4837
2022-03-17 12:00:00,1.0,0.0,4838
2022-03-17 16:00:00,1.0,0.0,4839
2022-03-17 20:00:00,1.0,0.0,4840
2022-03-18 00:00:00,1.0,0.0,4841
2022-03-18 04:00:00,1.0,0.0,4842
2022-03-18 08:00:00,1.0,0.0,4843
2022-03-18 12:00:00,1.0,0.0,4844
2022-03-18 16:00:00,1.0,0.0,4845
2022-03-18 20:00:00,1.0,0.0,4846
2022-03-19 00:00:00,1.0,0.0,4847
