symbol,signal_time,entry_time,exit_time,entry_price,stop_type,stop_price,sweep_low,ref_low,sweep_risk_pct,ref_risk_pct,tightening_pct_of_price,exit_price,exit_reason,initial_quantity,initial_notional,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours
ETH,2021-11-06 12:00:00,2021-11-06 16:00:00,2021-11-08 16:00:00,4400.769284999999,sweep_low,4326.17,4326.17,4338.97,0.016951419210789038,0.014042836830969919,0.002908582379819119,4749.624000000001,TIME_T12,12.77145221662293,56204.214639759346,952.7412037717271,74.59928499999933,148187.29788826455,22.481685855903738,46.74552424107392,86.76528491196477,4455.381323166127,4321.870514013088,0.0291649188263885,4.5362481405271415,12,48
ETH,2021-11-10 20:00:00,2021-11-11 00:00:00,2021-11-13 00:00:00,4630.99434,sweep_low,4461.93,4461.93,4574.04,0.03650713595991998,0.012298512116082662,0.024208623843837318,4637.18025,TIME_T12,9.462996668497741,43823.0840112519,1599.8552861817684,169.0643399999999,159985.52861817685,17.52923360450076,35.08188210729017,29.124750099641663,58.537245721628274,-5.6693864853035585,-3.543687066118446e-05,-0.0035436870661184464,12,48
BTC,2021-11-12 16:00:00,2021-11-12 20:00:00,2021-11-14 20:00:00,63876.92249999999,sweep_low,62278.0,62278.0,62822.9,0.025031301406231547,0.01650083408448477,0.008530467321746778,65486.34045,TIME_T12,1.0016931982658135,63985.07879440249,1601.6297928041636,1598.9224999999933,160162.97928041636,25.594031517761,51.83292024099477,68.2829920700603,1612.1430136819192,1492.027101370864,0.009315680240679058,0.9315680240679058,12,48
BTC,2021-11-16 04:00:00,2021-11-16 08:00:00,2021-11-16 12:00:00,60834.472035,sweep_low,60293.06,60293.06,60422.2,0.00889975727394346,0.006776947694438913,0.002122809579504546,60262.91347,STOP,2.653221405633934,161407.32340370092,1436.4860005298317,541.4120350000012,161471.8863330624,64.56292936148037,128.51927015526817,0.0,-1516.4714192314125,-1644.9906893866807,-0.010187474282635282,-1.1451491269528171,1,4
ETH,2021-11-16 08:00:00,2021-11-16 12:00:00,2021-11-17 00:00:00,4294.586219999999,sweep_low,4103.0,4103.0,4252.78,0.044611101089967,0.009734632828025861,0.03487646826194114,4100.9485,STOP,8.342295998306996,35826.70943749036,1598.2689564367574,191.58621999999923,159826.89564367573,14.330683774996144,28.015214279321377,7.087122484697724,-1615.3831766772807,-1650.4855134412999,-0.010326706946251126,-1.0326706946251125,3,12
BTC,2022-03-31 12:00:00,2022-03-31 16:00:00,2022-03-31 20:00:00,46477.03690499999,sweep_low,46230.0,46230.0,46445.42,0.0053152464410530734,0.0006802693782871939,0.0046349770627658795,46206.885,STOP,3.401963106802081,158113.16486428873,840.4104368285487,247.03690499999357,158176.41013023444,63.245265945715495,126.12291316581408,0.0,-919.0468140422718,-1045.1697272080858,-0.006607620734011766,-1.2436420127672805,1,4
BTC,2022-03-31 20:00:00,2022-04-01 00:00:00,2022-04-01 04:00:00,45533.105175,sweep_low,45200.0,45200.0,45500.0,0.007315670076085404,0.000727057266855883,0.006588612809229522,45177.4,STOP,3.449543193554255,157068.41303781126,1149.0606891589384,333.10517499999696,157131.24040302637,62.82736521512451,125.16392228411573,0.0,-1227.0203653332596,-1352.1842876173753,-0.008605445258047692,-1.1767736033221312,1,4
ETH,2022-04-05 20:00:00,2022-04-06 00:00:00,2022-04-06 04:00:00,3408.7034999999996,sweep_low,3400.0,3400.0,3405.97,0.002553316825590616,0.0008019177966050206,0.0017513990289855954,3398.3,STOP,45.682110341261996,155716.76940764594,397.5942473551565,8.703499999999622,155779.056115409,62.28670776305838,124.38331399214265,0.0,-475.2538349352936,-599.6371489274362,-0.003849279639255194,-1.5081635434020808,1,4
BTC,2022-04-06 00:00:00,2022-04-06 04:00:00,2022-04-06 12:00:00,45238.48793999999,sweep_low,44412.0,44412.0,45118.0,0.018269574816385695,0.0026633945007135404,0.015606180315672154,44389.794,STOP,1.877576325753563,84938.71396903205,1551.7941896648158,826.4879399999918,155179.41896648158,33.97548558761282,67.31357611540385,8.500922082787136,-1593.487649554496,-1669.302147752687,-0.01075723932252416,-1.075723932252416,2,8
BTC,2022-04-06 16:00:00,2022-04-06 20:00:00,2022-04-07 00:00:00,43776.43728,sweep_low,43177.11,43177.11,43705.64,0.013690636270069662,0.0016172462721708008,0.012073389997898861,43155.521445000006,STOP,1.9545399760014242,85562.79667067905,1171.4091274681944,599.3272799999977,153510.11681872891,34.22511866827162,67.96479540804732,8.43784093977702,-1213.6048212397895,-1290.007457587614,-0.008403403530145886,-1.1012441574326386,1,4
ETH,2022-04-06 16:00:00,2022-04-06 20:00:00,2022-04-07 00:00:00,3226.9426649999996,sweep_low,3171.26,3171.26,3217.33,0.01725554829465784,0.002978876911653977,0.01427667138300386,3169.67437,STOP,21.037231739325115,67885.94065312036,1171.4091274681944,55.68266499999936,153510.11681872891,27.154376261248142,53.82684596520389,5.901800997276175,-1204.766393231021,-1264.4950401935012,-0.008237209810000139,-1.0794649030322108,1,4
ETH,2022-04-07 00:00:00,2022-04-07 04:00:00,2022-04-09 04:00:00,3187.15278,sweep_low,3143.15,3143.15,3162.39,0.013806297669859366,0.007769561646178764,0.0060367360236806035,3208.1951000000004,TIME_T12,34.30592665303158,109338.22950268569,1509.556143209478,44.0027799999998,150955.6143209478,43.735291801074275,87.75933411676041,1.5838322068981174,721.8762865296356,632.5331202059771,0.004190192746731128,0.4190192746731128,12,48
ETH,2022-04-11 00:00:00,2022-04-11 04:00:00,2022-04-11 08:00:00,3176.8976549999998,sweep_low,3151.84,3151.84,3173.52,0.007887460573544858,0.0010631928902978076,0.00682426768324705,3150.2640800000004,STOP,47.69670064381825,151527.53642658316,1195.167469371057,25.057654999999613,151588.1474411538,60.611014570633266,120.71389567972668,15.160920963344712,-1270.3336538496521,-1406.2084704927236,-0.009276506733737944,-1.1765786021876286,1,4
ETH,2022-04-11 16:00:00,2022-04-11 20:00:00,2022-04-12 00:00:00,3006.1022999999996,sweep_low,2977.54,2977.54,3002.36,0.009501439787993775,0.0012449010800462221,0.008256538707947554,2976.05123,STOP,49.93904905184873,150121.89021457525,1426.3741007335987,28.562299999999595,150181.93897066108,60.04875608583011,119.497223428144,-4.91952243948886,-1500.721858790516,-1615.2995597791712,-0.010755617958126972,-1.1324515489648939,1,4
BTC,2023-01-18 16:00:00,2023-01-18 20:00:00,2023-01-20 20:00:00,20915.822685,sweep_low,20407.15,20407.15,20573.13,0.024319994133665975,0.0163843751288714,0.00793561900479458,22655.876395,TIME_T12,2.920672640617268,61088.2710720815,1485.666394108819,508.6726849999977,148566.6394108819,24.435308428832602,50.90346776326584,36.66843750304055,5082.127264001574,4994.555358735267,0.03361828320638069,3.361828320638069,12,48
ETH,2023-01-18 16:00:00,2023-01-18 20:00:00,2023-01-20 20:00:00,1542.73098,sweep_low,1501.39,1501.39,1518.76,0.02679727090202074,0.015538016874465082,0.01125925402755566,1657.69074,TIME_T12,35.93689346766383,55440.958877524616,1485.666394108819,41.340979999999945,148566.6394108819,22.17638355100985,46.00528576129498,33.19950841844494,4131.2966481882,4052.0918540084604,0.027274574359872482,2.7274574359872483,12,48
ETH,2023-01-25 00:00:00,2023-01-25 04:00:00,2023-01-27 04:00:00,1547.403315,sweep_low,1518.0,1518.0,1535.0,0.019001713848596752,0.008015567033989469,0.010986146814607283,1584.6073000000001,TIME_T12,53.60391732143995,82946.87936018211,1576.1328662362562,29.40331500000002,157613.2866236256,33.17875174407285,67.15521522253293,50.9515954923751,1994.2793359680977,1876.1725252531896,0.011903644454375325,1.1903644454375324,12,48
BTC,2023-01-30 20:00:00,2023-01-31 00:00:00,2023-02-02 00:00:00,22838.79369,sweep_low,22500.0,22500.0,22627.9,0.014834132423917816,0.0092340117811186,0.005600120642799215,23836.6757,TIME_T12,4.70756876106162,107515.19171537524,1594.8945914887881,338.7936899999986,159489.4591488788,43.0060766861501,87.89119264330076,65.44131620300838,4697.598177501385,4544.265668655075,0.028492576831758733,2.8492576831758734,12,48
BTC,2023-02-06 04:00:00,2023-02-06 08:00:00,2023-02-08 08:00:00,22892.350455,sweep_low,22628.13,22628.13,22743.0,0.011541866595104892,0.006524033226451835,0.005017833368653056,23147.490465000003,TIME_T12,4.258797819822013,97493.89220835548,1125.2614977063752,264.22045499999876,164033.7248175339,38.99755688334219,78.42974965401933,58.812647852833116,1086.5897183373786,949.3473208305261,0.005787513036642624,0.843668180921132,12,48
ETH,2023-02-06 04:00:00,2023-02-06 08:00:00,2023-02-06 20:00:00,1636.227705,sweep_low,1608.53,1608.53,1609.3,0.01692778145447674,0.016457186807015994,0.0004705946474607468,1607.725735,STOP,40.62652475020488,66474.24535415343,1125.2614977063752,27.69770500000004,164033.7248175339,26.589698141661376,52.716221887468905,6.699313931308785,-1157.9359896345982,-1217.3515254533759,-0.007421349035434759,-1.0818387796389624,3,12
ETH,2023-02-06 20:00:00,2023-02-07 00:00:00,2023-02-09 00:00:00,1615.0871399999999,sweep_low,1605.01,1605.01,1608.53,0.006239378514276247,0.004059929546587741,0.002179448967688506,1618.240475,TIME_T12,40.39279316488022,65237.88078927793,407.04383171353584,10.077139999999872,162204.94649124861,26.09515231571117,52.24125343479618,40.049777565324064,127.37200843458554,35.0809774344653,0.0002162756327308305,0.08618476611421579,12,48
