symbol,onboard_date,delist_date,source
ENSUSDT,2021-11-29,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
PEOPLEUSDT,2021-12-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ROSEUSDT,2021-12-31,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
DUSKUSDT,2022-01-06,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
FLOWUSDT,2022-02-09,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
IMXUSDT,2022-02-10,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
API3USDT,2022-02-21,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
GMTUSDT,2022-03-14,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
APEUSDT,2022-03-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
WOOUSDT,2022-04-07,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
FTTUSDT,2022-04-14,2022-11-14,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
JASMYUSDT,2022-04-19,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
DARUSDT,2022-04-28,2024-12-26,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
OPUSDT,2022-06-01,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
INJUSDT,2022-08-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
STGUSDT,2022-08-24,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SPELLUSDT,2022-09-05,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000LUNCUSDT,2022-09-08,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
